	NAME	DATATYPE	TYPE			REFERENCE
000	fi	integer		function name		2
001	x	integer		parameter		5
002	y	integer		parameter		8
003	z	integer		variable name		13
004	fs	string		function name		32
005	a	string		parameter		35
006	b	string		parameter		38
007	c	string		variable name		43
008	subst	string		function name		48
009	p	integer		parameter		54
010	n	integer		parameter		57
011	sa	string		variable name		94
012	sb	string		variable name		98
013	sc	string		variable name		102
014	strle	integer		variable name		106
