	NAME	DATATYPE	TYPE			REFERENCE	VISIBILITY
000	fi	integer		function name		2		global
001	x	integer		parameter		5		fi
002	y	integer		parameter		8		fi
003	z	integer		variable name		13		fi
006	fs	string		function name		32		global
007	a	string		parameter		35		fs
008	b	string		parameter		38		fs
009	c	string		variable name		43		fs
010	subst	string		function name		48		fs
011	a	string		parameter		51		subst
012	p	integer		parameter		54		subst
013	n	integer		parameter		57		subst
014	f	string		variable name		62		fs
017	x	integer		variable name		82		main
018	y	integer		variable name		86		main
019	z	integer		variable name		90		main
020	sa	string		variable name		94		main
021	sb	string		variable name		98		main
022	sc	string		variable name		102		main
023	strle	integer		function name		107		main
024	p	string		parameter		110		strle
025	g	integer		variable name		115		main
